TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
41:38.3,0.53686255,0.34307432,0.37101367,0.61692697,-0.0764081,-0.49066964,-0.59760654,0.080398604,0.5250242,-0.045765247,-0.43324417,0.916759,0.19537714,-0.22872472,0.05244569,0.29415905,-0.10896808,-0.45751452,-0.45534986,-0.13823535,825.6044,846.55676,815.5311,742.6007,677.72894,100,0,0.044372559,0.275817871,0.957946777,0.657958984,2.714080811,2.071075439,1,1,1,1,1,59.31,NaN
41:38.8,0.5088983,0.35460043,0.32012087,0.5538982,0.002008538,-0.385813,-0.5274319,0.16152826,0.5287484,-0.014456397,-0.19853477,0.8574167,0.22606093,-0.17759386,0.09615569,0.3517408,-0.08245277,-0.46095112,-0.45502433,-0.100936845,840.9158,842.52747,833.663,795.78754,817.9487,100,0,0.045288086,0.275878906,0.953857422,0.747680664,2.639312744,2.168273926,1,1,1,1,1,59.31,NaN
41:39.3,0.32240242,0.25460348,0.20681006,0.31828004,0.08019784,-0.37770456,-0.39723736,0.20968592,0.55224943,-0.12955043,-0.13380115,0.9763496,0.32427612,-0.1892335,0.10225622,0.36700225,-0.14911513,-0.5268696,-0.41668454,-0.09700378,831.2454,851.79486,859.0476,919.0842,987.98535,100,0,0.045593262,0.270568848,0.954833984,0.897216797,2.811279297,2.168273926,1,1,1,1,1,59.31,NaN
41:39.8,0.21390411,0.037256096,-0.024883093,0.37610057,0.26986194,-0.43637034,-0.405647,0.13712263,0.7461721,-0.27072683,-0.12968037,0.9263575,0.35729676,-0.1819177,0.1122583,0.35454342,-0.27106225,-0.492071,-0.33522752,-0.16245688,832.0513,848.97437,837.6923,844.94507,894.5055,100,0,0.046875,0.274475098,0.955566406,1.323394775,3.192596436,3.035583496,1,1,1,1,1,59.31,NaN
41:40.3,0.19871016,-0.08097483,-0.015725896,0.40803397,0.37815675,-0.51270586,-0.40161103,0.1570732,0.7689215,-0.29499787,-0.16729602,0.93729573,0.3718345,-0.2219714,0.03642619,0.341829,-0.2786424,-0.4976045,-0.37639004,-0.17973834,811.50183,846.1539,841.7216,780.87915,733.73627,100,0,0.044921875,0.276000977,0.955871582,0.687866211,2.968292236,1.749572754,1,1,1,1,1,59.31,NaN
41:40.9,1.0831504,-0.036310453,0.5897464,1.0517693,0.48588583,-0.7888218,-0.32933617,0.36194393,1.0546643,-0.12137597,-0.20340425,1.2641765,0.35349458,-0.14911486,-0.018532986,0.41868544,-0.123301625,-0.34465572,-0.2954482,-0.13619423,855.82416,844.94507,813.5165,738.1685,707.1429,100,0,0.049865723,0.273925781,0.954345703,0.508422852,2.168273926,1.9140625,1,1,1,1,1,59.31,NaN
41:41.4,1.4135265,0.33215055,0.88284826,1.3698795,0.41330403,-0.7002271,-0.32144192,0.4743922,1.080816,-0.124795735,-0.05846933,1.2236267,0.28172985,-0.1735508,-0.10234331,0.44712934,-0.045900237,-0.36531228,-0.2342387,-0.09730469,844.5421,836.4835,816.7399,775.64105,696.6667,100,0,0.03918457,0.275024414,0.956176758,1.121520996,3.117828369,2.512207031,1,1,1,1,1,59.31,NaN
41:41.9,1.5749217,0.51583105,0.94326496,1.5062329,0.8271815,-0.31017357,-0.11133044,0.6939466,1.1037136,-0.04341216,-0.008867664,1.2272657,0.2960565,-0.175767,0.00771561,0.51801777,0.06817375,-0.33156505,-0.13513671,-0.021191796,838.0952,851.79486,871.9414,937.619,1005.31134,100,0,0.042053223,0.270568848,0.955566406,0.299072266,2.78137207,1.9140625,1,1,1,1,1,59.31,NaN
41:42.4,1.5148605,0.5347839,0.72553337,1.4346869,0.97655725,-0.122298606,-0.06329985,0.8205963,1.1513429,-0.1062022,0.042480826,1.304713,0.30502278,-0.28763866,0.076803796,0.56198937,0.058279037,-0.4003623,-0.15340422,-0.0275843,830.84247,860.65936,847.76556,879.59705,967.4359,100,0,0.043762207,0.273010254,0.955444336,0.91217041,3.110351563,2.392578125,1,1,1,1,1,59.31,NaN
41:42.9,1.5271871,0.5364792,0.5173399,1.4474901,1.1041815,0.003970493,0.09844891,1.0584216,1.1509503,-0.18579577,0.28114986,1.3167963,0.33766153,-0.30644548,0.17179808,0.58562374,0.22278641,-0.32924688,-0.20595886,0.17728387,857.8388,845.34796,830.84247,792.1612,697.8755,100,0,0.04901123,0.271118164,0.960571289,1.136474609,2.751464844,2.78137207,1,1,1,1,1,58.84,NaN
