Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38
39:02.4,0.2363045,0.16631512,0.001137903,0.48747474,0.29009953,-0.26788926,-0.31742087,0.50285673,0.9236772,-0.10983823,0.004813532,1.1787986,0.119066834,-0.37710467,-0.41845778,0.18049374,-0.27042168,-0.5815752,-0.73891354,-0.18655379,811.9048,857.03296,854.61536,788.5348,651.53845,0.007202148,0.141113281,0.981872559,0.93460083,2.272949219,2.73651123,1,1,1,1,1,62.38
39:02.9,0.21441787,0.20072609,-0.0931241,0.5170192,0.2671662,-0.3806372,-0.4074844,0.61735773,0.8746248,-0.1539351,0.027115487,1.3746041,0.077871196,-0.36245728,-0.41733006,0.1549282,-0.27686715,-0.68858254,-0.75923455,-0.19754271,819.5604,856.2271,849.7802,795.78754,493.99268,0.008544922,0.145446777,0.981323242,0.657958984,2.684173584,2.833709717,1,1,1,1,1,62.38
39:03.4,0.23761763,0.18942197,-0.1306245,0.5490808,0.16460752,-0.33424658,-0.45405918,0.6160829,0.8558836,-0.18622532,-0.023191828,1.3816407,-0.010911505,-0.39234,-0.35005945,0.2104958,-0.2656708,-0.70979637,-0.76876634,-0.15506169,880.80585,859.85345,855.0183,919.0842,1237.8022,0.014343262,0.141601563,0.98034668,-0.074768066,3.588867188,2.579498291,1,1,1,1,1,62.38
39:03.9,0.22798766,-0.11788095,0.009592631,0.28792983,0.13241437,-0.48068097,-0.58616024,0.5405982,0.9419594,-0.10216005,-0.027840197,1.378513,0.002855353,-0.26721445,-0.25843072,0.2362246,-0.22991443,-0.58107203,-0.75496036,-0.15418802,878.3883,852.1978,855.0183,895.31134,1029.0842,0.001220703,0.142456055,0.985961914,0.328979492,2.572021484,2.661743164,1,1,1,1,1,62.38
39:04.4,0.68860686,-0.42270458,0.08467144,0.77655065,0.23605004,-0.49718457,-0.61262345,0.3542784,1.2272004,0.097296454,-0.1710341,1.2322447,0.08364247,-0.1813406,-0.23419146,0.294277,-0.23732658,-0.47140884,-0.75333023,-0.17819332,844.94507,853.8095,854.21246,844.94507,651.53845,0.004333496,0.139587402,0.981689453,0.396270752,1.9140625,2.280426025,1,1,1,1,1,62.38
39:04.9,0.75454736,-0.35160738,0.079258375,0.8157476,0.39217716,-0.6821643,-0.60142434,0.550191,1.2405335,0.10686282,-0.21379285,1.2693843,0.100002445,-0.14438887,-0.24332978,0.32039228,-0.13181694,-0.4589235,-0.73202497,-0.15093026,822.7839,857.8388,854.21246,780.87915,493.1868,0.003417969,0.142089844,0.98260498,0.91217041,2.265472412,2.609405518,1,1,1,1,1,62.38
39:05.5,0.67834073,-0.42544082,-0.19837868,0.7792927,0.3204969,-0.64877915,-0.5092628,0.519051,1.2397096,0.02346122,-0.19976544,1.2773864,0.09187377,-0.26208982,-0.36091596,0.23476003,-0.12795797,-0.597212,-0.7679601,-0.17484781,827.2161,857.4359,853.8095,805.05493,758.71796,0.004943848,0.142883301,0.98236084,0.859832764,2.80380249,2.504730225,1,1,1,1,1,62.38
39:06.0,0.25636524,-0.51683885,-0.107688054,0.40299222,0.35809898,-0.6111902,-0.5615552,0.55521864,0.9777312,-0.01904044,-0.21325451,1.2351195,0.09898288,-0.28081244,-0.36325768,0.18900341,-0.14518961,-0.65272075,-0.7051931,-0.10876623,806.6667,851.79486,856.2271,787.326,532.674,0.007446289,0.14251709,0.980163574,0.127105713,3.753356934,3.043060303,1,1,1,1,1,62.34
39:06.5,0.23160298,-0.75869066,-0.10867999,0.38479432,0.19301958,-0.38512778,-0.4514673,0.41271332,0.8417671,-0.14072877,-0.16833487,1.0065317,0.18514392,-0.26151422,-0.3625702,0.205046,-0.00459203,-0.622965,-0.5158199,0.065584116,880.80585,848.5714,848.97437,906.99634,1154.3956,0.011108398,0.149230957,0.984069824,1.121520996,1.899108887,3.013153076,1,1,1,1,1,62.34
39:07.0,0.8067743,-0.6757699,-0.12174436,0.8704123,0.22054476,-0.15658532,-0.5042342,0.44702962,0.67410076,-0.04284167,-0.20887141,0.98311555,0.26774257,-0.22544472,-0.21496332,0.35881206,0.22640121,-0.3217012,-0.16858883,0.35173544,877.98535,860.65936,853.00366,887.25275,1176.5568,0.000366,0.141418457,0.987792969,0.403747559,2.743988037,1.884155273,1,1,1,1,1,62.34
39:07.5,0.9220172,-0.53966475,-0.29085928,1.0048547,0.06904546,-0.108195916,-0.5485108,0.23662245,1.0310296,0.20955275,-0.24330367,0.8803591,0.34823266,-0.25517824,-0.20202601,0.39463848,0.2604053,-0.28909492,-0.12067025,0.40429893,879.19415,855.82416,847.76556,901.3553,1162.8572,0.001281738,0.142883301,0.983764648,0.882263184,2.213134766,2.811279297,1,1,1,1,1,62.34
39:08.1,0.8562227,-0.38687733,-0.38769773,0.9826023,0.1424387,-0.16594411,-0.5978614,0.19605301,1.076747,0.27538475,-0.22013171,1.0950935,0.2635661,-0.265025,-0.20108832,0.28854343,0.1618111,-0.27663705,-0.19049528,0.32982585,860.65936,853.4066,854.21246,870.7326,778.0586,0.004760742,0.14642334,0.983276367,1.039276123,2.833709717,2.205657959,1,1,1,1,1,62.34
39:08.6,0.33085516,-0.34873676,-0.32292154,0.52781266,0.24187596,-0.2973726,-0.41434106,0.26464808,1.0972929,0.2516377,-0.22013171,1.1169252,0.13138239,-0.3386792,-0.2959791,0.09798291,-0.08995388,-0.4542783,-0.47851005,0.044235304,813.91943,856.2271,854.61536,796.5934,494.3956,0.007446289,0.143798828,0.979309082,0.209350586,3.401947021,3.125305176,1,1,1,1,1,62.34
39:09.1,0.120001815,-0.37538403,-0.28175113,0.1442376,0.2813367,-0.3610888,-0.38450864,0.26644284,1.0580939,0.17613812,-0.18359084,1.1173215,0.009792695,-0.4212275,-0.3053134,0.071090735,-0.08343499,-0.4433499,-0.5217304,0.011298278,809.89014,863.8828,851.39197,784.5055,670.87915,0.009887695,0.146240234,0.981628418,0.13458252,3.297271729,0.882263184,1,1,1,1,1,62.34
39:09.6,0.06217416,-0.3430802,-0.28520012,1.1373955,0.24478523,-0.46883443,-0.39004707,0.20992284,0.87313193,-0.11954843,-0.14892805,0.741236,0.09674493,-0.4025971,-0.32680756,0.2342035,-0.03821041,-0.42022103,-0.55323035,0.09652313,861.4652,869.12085,856.63007,925.9341,1092.7472,0.00189209,0.147644043,0.976806641,0.194396973,1.921539307,2.833709717,1,1,1,1,1,62.34
39:10.1,0.15171066,-0.22070199,-0.37066752,1.3018112,0.21241179,-0.5537682,-0.6069749,0.14709763,0.6975947,-0.15179627,-0.12330578,0.63830745,0.23246865,-0.11148617,-0.18570426,0.31940293,0.24832897,-0.03889577,-0.34788153,0.15333839,892.0879,858.6447,850.18317,918.68134,1177.7656,-0.004394531,0.142272949,0.979431152,-0.186920166,2.243041992,2.392578125,1,1,1,1,1,62.34
39:10.6,0.082450256,-0.08037987,-0.46433437,1.4989768,0.17333691,-0.52988124,-0.7647978,0.47708568,0.60955286,-0.077323414,-0.12712392,0.7911119,0.2685187,-0.012502546,-0.13578273,0.40164626,0.3248404,0.04145755,-0.3066274,0.24852113,877.1795,861.8681,855.0183,863.47986,810.293,-0.007385254,0.143615723,0.97845459,0.88973999,1.742095947,3.132781982,1,1,1,1,1,62.34
39:11.1,0.046260264,0.36286935,-0.4115303,1.0700004,0.15345752,-0.36219695,-0.6219455,0.5313467,0.61560863,-0.056706775,-0.14462641,0.7990349,0.32535526,0.025297366,-0.15912187,0.27860707,0.29990453,0.062287048,-0.27296185,0.123857014,808.68134,846.9597,848.1685,778.0586,496.00732,0.002380371,0.147033691,0.985290527,1.136474609,3.357086182,1.951446533,1,1,1,1,1,62.34
