TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
39:31.1,1.0091705,0.14238496,1.4134887,0.90280354,0.7774251,-0.23002514,0.6305363,0.5091977,1.0909705,-0.0566633,0.29108983,1.0661492,0.84005046,0.12479077,0.20866954,0.88740706,0.77508956,0.17531909,0.13241252,0.72792816,845.7509,853.4066,851.79486,865.09155,951.31866,0,0,0.173095703,0.302490234,0.932189941,0.426177979,2.145843506,2.160797119,1,1,1,1,1,65.73,NaN
39:31.6,0.9111123,0.254558,1.3289409,0.7447033,0.6863433,-0.2616289,0.507864,0.42976326,1.1338248,-0.08019722,0.30767637,1.1300063,0.75052613,0.08325616,0.22554071,0.9349883,0.7301853,0.13820992,0.024794675,0.75334316,818.7546,863.8828,871.9414,977.50916,969.85345,0,0,0.168762207,0.303344727,0.935241699,0.710296631,3.00567627,2.415008545,1,1,1,1,1,65.73,NaN
39:32.1,1.0210032,0.24441077,0.95850444,0.93417275,0.52385587,-0.45121983,0.40464702,0.31808567,1.1338248,-0.2066427,0.1132525,1.1253526,0.7427309,0.02682104,0.18347429,0.9003383,0.6164114,0.1315312,-0.07715764,0.78539467,842.1245,861.06226,852.1978,858.24176,757.50916,0,0,0.166381836,0.301025391,0.936889648,-0.127105713,2.89352417,1.375732422,1,1,1,1,1,65.73,NaN
39:32.6,1.1749412,0.36454064,0.6430626,1.0572482,0.4187891,-0.17679268,0.23019958,0.2768728,0.97288513,-0.07773972,0.09637946,1.0385033,0.64707947,-0.041195616,0.1235484,0.887477,0.4380716,0.104490295,-0.16421771,0.67170864,853.8095,857.03296,861.06226,977.1062,1007.72894,0,0,0.166320801,0.30279541,0.934143066,0.747680664,3.125305176,2.444915771,1,1,1,1,1,65.73,NaN
39:33.1,1.2296473,0.48721647,0.28282464,1.1094996,0.6177815,-0.07716687,0.15068796,0.54825044,0.9026869,0.25746727,0.03106096,0.7926056,0.60789555,-0.17731859,0.097491615,0.7636535,0.44883132,0.048360646,-0.23009548,0.58310395,830.4396,864.68866,851.39197,879.59705,941.2454,0,0,0.169616699,0.303588867,0.937683105,1.173858643,3.401947021,2.310333252,1,1,1,1,1,65.05,NaN
39:33.6,1.1094223,0.44213617,0.4146046,1.0833207,0.546945,-0.047521003,0.10166137,0.6105532,0.90908366,0.25913695,-0.054802727,0.66416556,0.4467323,-0.30115125,0.085697085,0.6121862,0.32006997,-0.10670815,-0.30525383,0.41655925,823.5897,869.5238,884.0293,971.06226,1013.7729,0,0,0.168334961,0.303649902,0.933959961,0.545806885,2.729034424,2.287902832,1,1,1,1,1,65.05,NaN
39:34.2,0.86214477,0.3072422,0.4129739,0.99839824,0.5599032,-0.17255206,0.064180225,0.5968067,0.9106608,0.2619866,-0.057801206,0.6483079,0.35654896,-0.39179713,0.002136638,0.39753667,0.05279537,-0.34953243,-0.39162272,0.20197426,833.2601,857.8388,828.8278,736.9597,770,0,0,0.163879395,0.302246094,0.936767578,0.553283691,2.953338623,2.063598633,1,1,1,1,1,65.05,NaN
39:34.7,0.67056334,-0.11572101,0.28669795,0.918502,0.30163798,-0.30958733,0.026005136,0.35795873,0.89676875,0.15491591,-0.003097939,0.55577385,0.22579852,-0.38305834,-0.075978056,0.31006345,-0.17625685,-0.69230115,-0.5573385,-0.000566,811.0989,848.1685,812.71063,701.50183,696.26373,0,0,0.161010742,0.304931641,0.934997559,0.620574951,3.013153076,2.302856445,1,1,1,1,1,65.05,NaN
39:35.2,0.5633338,-0.3028511,0.038364578,0.795824,0.2012788,-0.3207651,-0.22293983,0.20868614,0.68629223,-0.2106103,0.068830624,0.50443155,0.3066845,-0.33470884,-0.10020518,0.27932087,-0.020462703,-0.7068834,-0.53535104,-0.13650946,812.71063,842.9304,854.21246,936.8132,953.73627,0,0,0.169189453,0.301513672,0.936462402,0.800018311,2.788848877,2.400054932,1,1,1,1,1,65.05,NaN
39:35.7,0.920037,0.07435222,0.16777065,0.9761391,0.3835203,-0.3839602,-0.23677863,0.4429168,0.9368656,-0.20313215,0.09071035,1.0297891,0.44303206,-0.34353173,-0.04294191,0.48816162,0.42641622,-0.478575,-0.3948807,0.30555394,835.6777,850.18317,826.4103,776.04395,732.1245,0,0,0.170837402,0.302185059,0.935791016,0.687866211,2.579498291,2.908477783,1,1,1,1,1,65.05,NaN
39:36.2,0.9935043,0.1322076,0.25494295,1.0190667,0.4297838,-0.5687433,-0.3064284,0.47391516,0.98010314,-0.075038336,0.09071035,1.0325252,0.5206845,-0.37389088,-0.031491507,0.5898223,0.45332426,-0.41181394,-0.32926142,0.42017183,812.3077,849.3773,830.84247,699.4872,744.21246,0,0,0.168334961,0.302246094,0.932067871,1.667327881,2.699127197,1.996307373,1,1,1,1,1,65.05,NaN
39:36.7,1.007587,0.16989823,0.29534358,0.9875156,0.49498737,-0.7517273,-0.31268987,0.5061621,0.98819304,-0.04738819,0.010475495,1.0339683,0.5305845,-0.32408664,0.029822556,0.605849,0.42908737,-0.37253323,-0.32033375,0.4760753,832.4542,851.79486,852.6007,928.3516,880.40295,0,0,0.164428711,0.304321289,0.933959961,0.807495117,3.394470215,2.325286865,1,1,1,1,1,65.05,NaN
39:37.2,0.82156277,0.18910035,0.22585182,0.7989929,0.4367007,-0.73160577,-0.3135849,0.42126745,0.9724093,-0.13097139,-0.04654487,0.97668916,0.48956144,-0.31349018,-0.020190358,0.4851862,0.19087687,-0.50436956,-0.3815874,0.37686256,826.8132,867.50916,855.0183,832.4542,923.1135,0,0,0.169799805,0.30682373,0.936218262,1.039276123,2.878570557,1.742095947,1,1,1,1,1,65.05,NaN
39:37.7,0.54487514,0.25252604,0.12559953,0.7572131,0.34480703,-0.29298034,-0.23843691,0.43234122,0.7295741,-0.16056256,-0.056619175,0.72190225,0.46498132,-0.2969204,0.06745034,0.41918108,0.21556814,-0.41689163,-0.30525053,0.35219038,840.5128,857.4359,811.9048,776.04395,810.696,0,0,0.16204834,0.303955078,0.933654785,0.426177979,2.011260986,2.235565186,1,1,1,1,1,65.05,NaN
39:38.2,1.124773,0.3101399,0.5216343,1.1385645,0.41419336,-0.13609572,-0.063984334,0.48924392,0.6804576,-0.16758254,-0.047835536,0.7010598,0.59420484,-0.3810329,0.11152325,0.5490292,0.42377526,-0.2449662,-0.25974694,0.6033773,843.73627,864.68866,872.3443,983.1502,995.64105,0,0,0.160766602,0.303771973,0.93737793,0.246734619,2.975769043,2.190704346,1,1,1,1,1,65.05,NaN
39:38.7,1.3582902,0.22556028,0.7767863,1.3201984,0.42910585,-0.077141635,0.032364804,0.44438896,0.6804576,0.029673753,0.05830172,0.59930867,0.5853812,-0.39227536,0.1833664,0.5477183,0.47818157,-0.1945837,-0.2367836,0.58790606,824.7985,858.6447,861.06226,921.9048,862.674,0,0,0.160766602,0.302307129,0.934448242,0.837402344,2.766418457,2.549591064,1,1,1,1,1,65.05,NaN
39:39.2,1.4053278,0.27433014,0.8087752,1.330125,0.4601167,-0.18665631,0.07500015,0.41031128,0.74992704,0.029673753,0.080092154,0.55016166,0.5088827,-0.3725841,0.17020789,0.5263642,0.4470742,-0.27260646,-0.31138667,0.5653538,836.8865,857.03296,832.4542,747.03296,691.4286,0,0,0.166687012,0.304077148,0.93963623,0.874786377,3.147735596,2.138366699,1,1,1,1,1,65.05,NaN
39:39.8,1.2254817,0.23436224,0.6644318,1.22395,0.3037215,-0.24518333,0.013263064,0.3269448,0.65754396,0.009059465,0.10868172,0.5722553,0.21769935,-0.32726133,0.1476858,0.437503,0.24321486,-0.4883721,-0.35462573,0.19296998,837.28937,865.4945,896.52014,980.32965,1010.9524,0,0,0.163085938,0.303710938,0.933532715,0.994415283,2.930908203,2.594451904,1,1,1,1,1,65.05,NaN
