configuration,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,average
16,0.8339294791221619,0.9003322124481201,0.883780300617218,0.8340566754341125,0.9169647693634033,0.900306761264801,0.8838099837303162,0.8671096563339233,0.8172757625579834,0.8338446021080017,0.8671409487724304
"16, 32",0.8174623250961304,0.8171355724334717,0.7025171518325806,0.734355092048645,0.7515290379524231,0.8341836929321289,0.8008171319961548,0.800868034362793,0.7677978873252869,0.7677978873252869,0.7794464230537415
"48, 96",0.8673469424247742,0.8670756816864014,0.8339294791221619,0.8671436309814453,0.8670756816864014,0.8504601120948792,0.8337595462799072,0.9002302289009094,0.8337595462799072,0.8503071069717407,0.8571087718009949
"64, 128",0.9501661062240601,0.9833844304084778,0.9667689204216003,0.9667773842811584,0.9335038661956787,0.9667689204216003,0.9667689204216003,0.9501533508300781,0.950140655040741,0.9667689204216003,0.9601202011108398
"16, 32, 64",0.7338792085647583,0.6681133508682251,0.7174635529518127,0.6846271753311157,0.7010730504989624,0.6844660043716431,0.7338792085647583,0.7172466516494751,0.6676891446113586,0.6506270170211792,0.6959064602851868
"48, 96, 192",0.8506891131401062,0.8338870406150818,0.9002302289009094,0.8505747318267822,0.9003831148147583,0.8671775460243225,0.8010711669921875,0.8339719176292419,0.8338021039962769,0.8339719176292419,0.8505759239196777
